total_area,street
125.0,Гавела (Івана Лепсе)
55.0,Балтійський
55.0,Багговутівська
49.0,ЖК CRYSTAL RESIDENCE
51.89,Балтійський
55.0,Воробйова (Курська)
60.4,Гончара
130.0,Лейпцизька
40.0,Тираспільська
56.0,ЖК Diadans
75.0,Краківська
98.0,Сабурова
58.4,Глибочицька
51.0,Героїв Сталінграда
32.0,ЖК Chalet
308.0,Івана Мазепи (Січневого повстання)
30.0,Радченко
90.0,Алмазова (Кутузова)
61.0,Городецького
105.0,Маланюка (Степана Сагайдака)
32.0,Каховська
27.0,ЖК Svitlo Park
37.0,Вишняківська
76.0,Миропільська
75.0,Феодосійська
65.0,Малевича (Василя Боженка)
114.0,Тютюнника (Анрі Барбюса)
152.0,Коновальця (Щорса)
115.0,Дніпровська
89.0,Маланюка (Степана Сагайдака)
70.0,Жилянська
84.2,Оболонський
157.6,Павлівська
85.0,Крутий
83.0,Берковецька
119.0,Оболонська набережна
100.0,Зарічна
42.0,Юнацька
44.0,Правди
262.0,Драгомирова
125.0,Драгомирова
35.0,Крайня
51.0,Харківське
66.0,Правди
68.0,Перемоги (Брест-Литовський)
70.0,Братиславська
113.0,Краснопільська
66.2,Гавела (Івана Лепсе)
108.0,Тютюнника (Анрі Барбюса)
46.0,Північно-Сирецька
60.0,Гарматна
125.0,Гавела (Івана Лепсе)
58.0,Героїв Сталінграда
198.5,Бойчука (Кіквідзе)
120.0,Кривоноса
68.0,ЖК Ярославів Град
42.0,Бориспільська
69.0,Ревуцького
86.0,Маккейна (Івана Кудрі)
32.0,Радченко
144.3,Чаадаєва
52.0,ЖК Manhattan city
92.0,Липківського (Урицького)
60.0,Клавдіївська
81.09,Заболотного
189.0,Ломоносова
59.0,ЖК Володимирський
69.0,Дніпровська
48.0,Поліська
62.0,Іскрівська
87.0,Ризька
83.0,Правди
65.0,Антоновича (Горького)
37.0,Житловий район
56.0,Салютна
64.0,Омельяновича-Павленка (Суворова)
78.0,Стуса
64.0,Українки
37.0,Вишняківська
117.0,Тютюнника (Анрі Барбюса)
45.0,Виноградний
42.0,Перемоги (Брест-Литовський)
115.0,Дніпровська
52.1,Перемоги (Брест-Литовський)
76.0,Туполєва
115.0,Старонаводницька
40.22,Балтійський
59.62,Бойчука (Кіквідзе)
44.0,Бастіонна
90.0,Ревуцького
68.0,Болсунівська (Сергія Струтинського)
46.22,Повітрофлотський
106.2,Золотоустівська
85.0,Русовий
130.0,Саксаганського
45.0,Теремківська
46.0,Кібальчича
40.95,Радченко
112.0,Голосіївський (40-річчя Жовтня)
55.2,Лисогірський
86.2,Гоголівська
55.0,Тютюнника (Анрі Барбюса)
41.0,Солом'янська
75.0,Героїв Сталінграда
125.0,Глибочицька
124.14,Жилянська
78.9,Доброхотова
158.0,Жилянська
44.0,Відрадний (Чубаря)
48.0,Предславинська
61.0,Іпсілантіївський (Аїстова)
66.0,Глибочицька
133.0,Голосіївський (40-річчя Жовтня)
47.0,Оболонський
135.0,Багговутівська
35.0,Правди
44.0,Причальна
64.8,Бойчука (Кіквідзе)
41.0,Радистів
51.0,Лук'янівська
55.0,Правди
81.0,Шевельова (Микола Руднєва)
82.0,Героїв Сталінграда
89.0,Єфремова (Уборевича Командарма)
44.3,Балтійський
44.0,Бойчука (Кіквідзе)
358.0,Івана Мазепи (Січневого повстання)
95.0,Гришко
68.0,Сім'ї Сосніних
112.0,Харківське
38.0,Будищанська
44.0,МФК Intergal City
72.4,Мечнікова
40.0,Дніпровська
70.0,Маяковського
57.51,Гончара
63.0,І. Павла ІІ (Патріса Лумумби)
42.0,ЖК Rusaniv Residence
120.0,Героїв Сталінграда
120.0,Драгомирова
70.0,Драгомирова
160.0,Героїв Сталінграда
53.0,ЖК Olympic Park
222.0,Драгомирова
104.0,Бессарабська
44.0,Ломоносова
47.0,Тираспільська
200.3,Франка
72.0,Шовковична
31.0,ЖК Берег Дніпра
66.0,Голосіївський (40-річчя Жовтня)
120.0,Ломоносова
95.0,Героїв Сталінграда
112.0,Регенераторна
50.0,Салютна
126.0,Саперне Поле
